Label,Start date,End date,Duration (days),Template size (px),Template size (m),Pixel spacing (px),Pixel spacing (m),Prefilter,Subpixel,Software,Vx,Vy,Assigned-x-error,Assigned-y-error,SAV-uncertainty-x,SAV-uncertainty-y,SAV-peak-x,SAV-peak-y,SAV-outlier-percent,pt0_vxavg,pt0_vxgps,pt0_vyavg,pt0_vygps,pt1_vxavg,pt1_vxgps,pt1_vyavg,pt1_vygps,pt2_vxavg,pt2_vxgps,pt2_vyavg,pt2_vygps,pt0_vxdiff,pt0_vxavgdiff,pt0_vydiff,pt0_vyavgdiff,pt1_vxdiff,pt1_vxavgdiff,pt1_vydiff,pt1_vyavgdiff,pt2_vxdiff,pt2_vxavgdiff,pt2_vydiff,pt2_vyavgdiff,pt0_vavg,pt0_vgps,pt0_vdiff,pt0_verr,pt1_vavg,pt1_vgps,pt1_vdiff,pt1_verr,pt2_vavg,pt2_vgps,pt2_vdiff,pt2_verr,LSR-uncertainty-nm,LSR-uncertainty-sh
Sen2-20180316-20180515,20180316,20180515,60,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180316_0_L1C_X_S2A_7VFH_20180515_0_L1C_G0120V02_P048.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180316_0_L1C_X_S2A_7VFH_20180515_0_L1C_G0120V02_P048.nc_vy.tif,43.0,18.5,71.80031695195302,40.75153124300036,2.2271383885240255,0.05945089319045849,19.037871033776867,,,,,-90.44444274902344,83.93155677527345,-96.55555725097656,115.9005882620113,52.44444274902344,,-104.88888549804688,,,,,,-2.0684432247265505,-6.512885973749988,10.900588262011297,19.345031011034735,,,,,,,,,133.44444274902344,138.88780586026002,-5.443363111236579,32.11111068725586,117.44444274902344,,,25.11111068725586,1.3349950348622517,1.1264020606650247
Sen2-20180329-20180508,20180329,20180508,40,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180329_0_L1C_X_S2A_7VFH_20180508_0_L1C_G0120V02_P075.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180329_0_L1C_X_S2A_7VFH_20180508_0_L1C_G0120V02_P075.nc_vy.tif,52.1,25.2,85.59893683463575,50.89666514491856,15.448332572459265,-7.313484779314479,15.40720659663391,193.6666717529297,128.7549372818903,-103.66666412353516,127.35535428271396,-35.22222137451172,,-181.22222900390625,,12.0,,-15.666666984558105,,100.2450627181097,64.91173447103938,7.355354282713961,23.688690159178805,,,,,,,,,220.0,176.27709868058602,43.72290131941398,46.77777862548828,185.88888549804688,,,27.0,34.33333206176758,,,46.33333206176758,1.7980745940519403,1.3221136720970148
Sen2-20180508-20180518,20180508,20180518,10,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180518_0_L1C_G0120V02_P089.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180518_0_L1C_G0120V02_P089.nc_vy.tif,175.7,106.0,111.98173725009379,90.98516151570121,23.499429289065432,-2.499429289065432,29.597791798107252,443.22222900390625,179.63296767091379,-330.77777099609375,173.64042802187032,,,,,,,,,247.36703232908621,263.58926133299246,-145.35957197812968,-157.13734297422343,,,,,,,,,560.3333129882812,241.15987693032076,319.1734360579605,152.55555725097656,,,,,,,,,3.658657639340258,3.0869923831933423
Sen2-20180508-20180627,20180508,20180627,50,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P041.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180508_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P041.nc_vy.tif,37.1,21.5,71.06871664051958,52.2564092944997,8.090256371779986,0.9097436282199993,15.2372142196379,200.11111450195312,190.4475917076692,-192.77777099609375,195.04338981111653,,,,,,,,,-1.4475917076692042,9.66352279428392,-2.9566101888834737,2.2656188150227763,,,,,,,,,279.3333435058594,263.1056484287688,16.227695077090573,30.55555534362793,,,,,,,,,1.5156653387478756,1.3689880479013068
Sen2-20180515-20180619,20180515,20180619,35,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180515_0_L1C_X_S2B_7VFH_20180619_0_L1C_G0120V02_P042.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180515_0_L1C_X_S2B_7VFH_20180619_0_L1C_G0120V02_P042.nc_vy.tif,45.3,30.4,80.18436377393455,63.175559337039346,21.57017079472925,-0.4298292052707495,15.588858120215018,,196.31874323775992,,200.15988462173016,,130.86109093909286,,183.39748780712503,,,,,,,,,,,,,,,,,,270.5930902006523,,,,217.45205804525605,,,,,,,1.2131495034897202,1.023594893569451
Sen2-20180518-20180523,20180518,20180523,5,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180518_0_L1C_X_S2B_7VFH_20180523_0_L1C_G0120V02_P084.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180518_0_L1C_X_S2B_7VFH_20180523_0_L1C_G0120V02_P084.nc_vy.tif,133.3,110.6,143.29049063187358,117.23767415335114,18.02640823926123,18.342136079753743,28.033028122956182,240.22222900390625,228.52064356859773,-299.1111145019531,216.69775032356847,12.0,,-301.0,,,,,,-37.520643568597734,11.701585435308516,-169.30224967643153,-82.41336417838465,,,,,,,,,428.22222900390625,303.98949435351176,124.23273465039449,119.88888549804688,306.0,,,111.55555725097656,,,,,5.209016817209058,4.419771844904655
Sen2-20180627-20180722,20180627,20180722,25,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180627_1_L1C_X_S2B_7VFH_20180722_0_L1C_G0120V02_P071.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180627_1_L1C_X_S2B_7VFH_20180722_0_L1C_G0120V02_P071.nc_vy.tif,39.0,29.1,31.69440809263544,26.742156828161157,6.028649241315421,-0.009549747105147333,39.47033358798065,158.3333282470703,143.7242480517365,-187.77777099609375,156.97937948629843,-153.44444274902344,,-161.3333282470703,,,,,,20.27575194826349,14.609080195333803,-34.02062051370157,-30.798391509795323,,,,,,,,,246.0,205.5265558630191,40.4734441369809,33.55555725097656,225.0,,,34.11111068725586,,,,,0.9104198566391578,1.0046012211190707
Sen2-20180704-20180724,20180704,20180724,20,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180704_0_L1C_X_S2A_7VFH_20180724_0_L1C_G0120V02_P086.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180704_0_L1C_X_S2A_7VFH_20180724_0_L1C_G0120V02_P086.nc_vy.tif,36.7,28.2,22.66838605896973,24.231723028553855,-4.908342423960299,-6.091657576039701,35.21955260977631,148.14285278320312,141.77980950695928,-189.85714721679688,151.42712033104908,,,,,,,,,0.22019049304071814,6.363043276243843,-34.57287966895092,-38.43002688574779,,,,,,,,,241.2857208251953,200.28761929173913,40.99810153345618,31.571428298950195,,,,,,,,,0.8498548427627404,0.8791601821683521
Sen2-20180724-20180729,20180724,20180729,5,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180724_0_L1C_X_S2B_7VFH_20180729_0_L1C_G0120V02_P094.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180724_0_L1C_X_S2B_7VFH_20180729_0_L1C_G0120V02_P094.nc_vy.tif,70.3,66.5,92.56655580391845,118.48519142901563,24.89201330352978,22.486688839216328,28.040647824706255,182.11111450195312,94.30092353373766,-210.55555725097656,272.73727592558134,-86.66666412353516,159.39107385789976,-135.3333282470703,203.59750726388302,248.44444274902344,147.50624326150864,-213.44444274902344,202.7230290331645,68.69907646626234,87.81019096821547,72.73727592558134,62.18171867460478,147.39107385789976,72.7244097343646,130.59750726388302,68.2641790168127,97.49375673849136,100.9381994875148,-97.2769709668355,-10.721413715858944,279.6666564941406,260.8824905908006,18.78416590334001,68.22222137451172,164.77777099609375,233.96165799443932,-69.18388699834557,67.55555725097656,337.0,226.81627646176028,110.18372353823972,68.55555725097656,3.2260468929661767,2.372093303651601
Sen2-20180727-20180801,20180727,20180801,5,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180727_0_L1C_X_S2B_7VFH_20180801_0_L1C_G0120V02_P093.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2A_7VFH_20180727_0_L1C_X_S2B_7VFH_20180801_0_L1C_G0120V02_P093.nc_vy.tif,67.1,60.1,56.41430248588669,58.35962326126208,1.945320775375393,-1.9453207753754072,15.974415666456096,196.55555725097656,163.96412781765684,-231.44444274902344,147.74255308893044,-51.77777862548828,139.84411406284198,-208.6666717529297,181.36775195825612,190.11111450195312,128.6448671584949,-136.44444274902344,177.3817619526235,-0.9641278176568449,32.59142943331972,-52.257446911069565,-83.701889660093,75.84411406284198,88.0663354373537,4.367751958256122,-27.298919794673566,130.3551328415051,61.466247343458235,13.381761952623492,40.937319203600055,304.1111145019531,213.04092436569056,91.07019013626257,63.22222137451172,255.77777099609375,221.0451124462484,34.732658549845354,62.33333206176758,241.77777099609375,211.45798496648973,30.319786029604018,64.44444274902344,1.986436664215654,1.676055935431958
Sen2-20180304-20180314,20180304,20180314,10,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180304_0_L1C_X_S2B_7VFH_20180314_0_L1C_G0120V02_P082.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180304_0_L1C_X_S2B_7VFH_20180314_0_L1C_G0120V02_P082.nc_vy.tif,121.4,73.1,100.88883292199213,77.15028399917045,33.901955846058115,-1.0326813846473044,26.71121391244753,127.11111450195312,111.37008930067532,-70.55555725097656,106.80278600325983,-8.44444465637207,72.9504865698982,-102.77777862548828,101.45577375106222,403.0,91.4079088026192,-340.6666564941406,103.75448247880558,-0.37008930067531765,15.741025201277807,52.802786003259826,36.24722875228326,63.9504865698982,64.50604191352613,-8.544226248937775,-1.3220048744260566,343.5920911973808,311.5920911973808,-372.2455175211944,-236.91217401533504,145.6666717529297,148.94446979445704,-3.2777980415273476,111.66666412353516,104.22222137451172,120.60847208884604,-16.386250714334324,75.33333587646484,530.5555419921875,133.4408528014774,397.1146891907101,104.33333587646484,1.185770280210038,0.9067655083959115
Sen2-20180314-20180329,20180314,20180329,15,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180314_0_L1C_X_S2A_7VFH_20180329_0_L1C_G0120V02_P083.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180314_0_L1C_X_S2A_7VFH_20180329_0_L1C_G0120V02_P083.nc_vy.tif,72.3,45.5,79.28522176251826,66.89690586212478,-10.567010459763907,5.477663180078707,23.01049779884863,95.44444274902344,115.28575973693903,-88.11111450195312,112.3871283113258,-66.55555725097656,81.97552799371383,-102.55555725097656,113.19100993528264,118.0,98.14700520007561,-126.11111450195312,112.39813509548549,-3.2857597369390277,-19.84131698791559,12.387128311325796,24.27601380937267,8.975527993713825,15.419970742737263,1.1910099352826364,10.635452684306074,55.85299479992439,19.85299479992439,-22.601864904514514,-13.712979406467639,130.11111450195312,155.4086081586525,-25.297493656699373,61.22222137451172,122.55555725097656,134.8905779287675,-12.335020677790936,54.55555725097656,174.6666717529297,144.00024034556523,30.666431407364456,60.11111068725586,1.126745505649908,0.9154807233405503
Sen2-20180523-20180612,20180523,20180612,20,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180523_0_L1C_X_S2B_7VFH_20180612_0_L1C_G0120V02_P070.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180523_0_L1C_X_S2B_7VFH_20180612_0_L1C_G0120V02_P070.nc_vy.tif,50.4,39.7,71.8164070544946,56.58262373990484,4.823745240772908,4.176254759227135,25.0130366765166,157.44444274902344,,-157.22222900390625,,,,,,,,,,,,,,,,,,,,,,224.55555725097656,,,45.33333206176758,,,,,,,,,1.716465891789483,1.5503562893582425
Sen2-20180612-20180627,20180612,20180627,15,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180612_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P066.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180612_0_L1C_X_S2A_7VFH_20180627_1_L1C_G0120V02_P066.nc_vy.tif,80.5,61.2,141.10830077527197,103.7561035112294,-0.7512207022458881,-11.450732421347539,22.506251736593498,,,,,,152.57595913469171,,212.51117084517804,220.0,,-163.6666717529297,,,,,,,,,,,,,,,,,,,252.50042363005028,,,274.6666564941406,,,74.0,1.4392445220175252,1.4392445220175252
Sen2-20180619-20180704,20180619,20180704,15,,varying (240-480),,120,ITS_LIVE (5x5 Wallis operator),ITS_LIVE (16-node oversampling),ITS_LIVE (autoRIFT),/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180619_0_L1C_X_S2A_7VFH_20180704_0_L1C_G0120V02_P068.nc_vx.tif,/home/jovyan/Projects/PX_comparison/PX/ITS_LIVE/S2B_7VFH_20180619_0_L1C_X_S2A_7VFH_20180704_0_L1C_G0120V02_P068.nc_vy.tif,61.6,52.5,93.4422738259384,78.8419185406355,-0.600355285302868,0.9200710570605679,30.966798914178323,167.11111450195312,168.3069080421701,-180.11111450195312,184.70980336521947,,,,,,,,,10.693091957829893,-1.1957935402169824,-8.290196634780528,4.5986888632663465,,,,,,,,,246.11111450195312,241.27631876425767,4.834795737695458,57.0,,,,,,,,,1.1807513851286733,1.141393005624384
