Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy,OIE-x,OIE-y,slope_max-normal-E,slope_min-shear-E,E_ratio,pt0_velodiff,pt1_velodiff,pt2_velodiff
Sen2-20180304-20180314,48,12,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_Gau/20180304-20180314_velo-raw_vy.tif,0.50390625,0.546875,0.07121240778955427,0.1476625221583858,0.4822646041029315,0.21698178568504134,-0.09244126054818036,1.0609976487758717
Sen2-20180304-20180314,48,12,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_NAOF/20180304-20180314_velo-raw_vy.tif,0.421875,0.4296875,0.057825730765264476,0.10187571345771824,0.5676105599914552,0.08807284413309813,-0.07274006850532372,
Sen2-20180304-20180314,48,12,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip12_None/20180304-20180314_velo-raw_vy.tif,2.3671875,2.390625,0.08011465048394165,0.1586928351360657,0.5048410056777303,-0.09313509723984692,-0.19221693563022335,4.459473388866401
Sen2-20180304-20180314,48,1,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_Gau/20180304-20180314_velo-raw_vy.tif,0.5625,0.546875,0.06251839827098954,0.12021969630375705,0.5200345716481047,0.14568437030065817,-0.09244126054818036,1.03892143835197
Sen2-20180304-20180314,48,1,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_NAOF/20180304-20180314_velo-raw_vy.tif,0.421875,0.453125,0.03541088154443304,0.0732625344368767,0.48334229516647687,0.033874697708833224,-0.07274006850532372,7.3252742475067825
Sen2-20180304-20180314,48,1,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip1_None/20180304-20180314_velo-raw_vy.tif,2.453125,2.40625,0.08627514722518284,0.15771098844453674,0.5470458848561702,-0.05868141904841684,-0.19785164863394986,4.459473388866401
Sen2-20180304-20180314,48,4,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_Gau/20180304-20180314_velo-raw_vy.tif,0.59375,0.53125,0.05651171383606039,0.11926603365132446,0.47382907023866494,0.18486002074881214,-0.09244126054818036,1.0224856421187565
Sen2-20180304-20180314,48,4,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_NAOF/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_NAOF/20180304-20180314_velo-raw_vy.tif,0.328125,0.40625,0.0378874882431141,0.07214452302357807,0.5251609776494304,0.033874697708833224,-0.07848861547209784,5.717171152759925
Sen2-20180304-20180314,48,4,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_None/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip48_skip4_None/20180304-20180314_velo-raw_vy.tif,2.421875,2.390625,0.07713874334679437,0.1516108982693283,0.5087941845035552,-0.05868141904841684,-0.19785164863394986,4.459473388866401
Sen2-20180304-20180314,64,12,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip64_skip12_Gau/20180304-20180314_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180304_20180314_Sen2-T07VFH_chip64_skip12_Gau/20180304-20180314_velo-raw_vy.tif,0.41015625,0.40625,0.07039591869091952,0.1817939052702695,0.3872292560427879,0.16528743233939014,-0.08524112594275227,0.9368252464726249
