Date,Chip (px),Resolution (px),Prefilter,Subpixel,Software,Vx,Vy,OIE-x,OIE-y,OI-peak-x,OI-peak-y,slope_max-normal-E,slope_min-shear-E,E_ratio,pt0_velodiff,pt1_velodiff,pt2_velodiff
Sen2-20180508-20180627,64,4,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_Gau/20180508-20180627_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_Gau/20180508-20180627_velo-raw_vy.tif,0.734375,0.78125,0.05000000074505806,-0.05000000074505806,0.24506955893730387,0.49875010147169146,0.49136743674670463,1.1859350292020905,,
Sen2-20180508-20180627,64,4,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_NAOF/20180508-20180627_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_NAOF/20180508-20180627_velo-raw_vy.tif,0.5625,0.6187499761581421,0.03750000149011612,-0.02500000037252903,0.2022659416935915,0.3609582844862169,0.5603582197358181,,,
Sen2-20180508-20180627,64,4,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_None/20180508-20180627_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180508_20180627_Sen2-T07VFH_chip64_skip4_None/20180508-20180627_velo-raw_vy.tif,0.32499998807907104,0.6000000238418579,0.05000000074505806,-0.05000000074505806,0.33806751181031386,0.6774011198981853,0.4990654752107969,-0.012047728102316801,,
LS8-20180802-20180818,32,1,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_Gau/20180802-20180818_velo-raw_vy.tif,0.3369140625,0.3515625,0.05859375,0.029296875,0.052975391236509024,0.09743626513296255,0.5436927530444465,-0.28223753508377536,0.02364095573224223,
LS8-20180802-20180818,32,1,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_NAOF/20180802-20180818_velo-raw_vy.tif,0.17578125,0.17578125,0.029296875,0.0,0.03632251373896356,0.0741644067161415,0.48975668177303916,-0.4441866770271471,-0.04457624197222665,
LS8-20180802-20180818,32,1,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip1_None/20180802-20180818_velo-raw_vy.tif,0.3515625,0.41015625,0.05859375,0.05859375,0.08468786836314918,0.15875025815321855,0.5334660198247507,-0.26377623197631495,8.10353178110534,
LS8-20180802-20180818,32,4,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_Gau/20180802-20180818_velo-raw_vy.tif,0.2783203125,0.29296875,0.0439453125,0.029296875,0.05660411668105885,0.10580757882437497,0.5349722327075772,-0.27322100976998187,0.052519410541487344,
LS8-20180802-20180818,32,4,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_NAOF/20180802-20180818_velo-raw_vy.tif,0.146484375,0.19775390625,0.029296875,0.0146484375,0.044186343479976,0.07521406603289425,0.5874744686805187,-0.4441866770271471,,
LS8-20180802-20180818,32,4,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip4_None/20180802-20180818_velo-raw_vy.tif,0.35888671875,0.380859375,0.05859375,0.0439453125,0.08104939062759844,0.16353147136252952,0.49561952786397756,-0.2526079128345775,4.074726230670764,
LS8-20180802-20180818,32,8,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_Gau/20180802-20180818_velo-raw_vy.tif,0.263671875,0.281982421875,0.05126953125,0.03662109375,0.07128585666993421,0.15243705293842166,0.46764126763019215,-0.27886944439807354,0.05489301642008626,
LS8-20180802-20180818,32,8,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_NAOF/20180802-20180818_velo-raw_vy.tif,0.194091796875,0.245361328125,0.029296875,0.0146484375,0.05528982285444084,0.09473901466232162,0.5836014133301937,-0.43075011132901936,,
LS8-20180802-20180818,32,8,None,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_None/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip32_skip8_None/20180802-20180818_velo-raw_vy.tif,0.340576171875,0.369873046875,0.05126953125,0.0439453125,0.1216131299687707,0.24625511640420183,0.4938501654079567,-0.2685497213807726,0.05876908920316126,
LS8-20180802-20180818,64,1,Gau,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_Gau/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_Gau/20180802-20180818_velo-raw_vy.tif,0.146484375,0.1025390625,0.05859375,0.029296875,0.0542441935709344,0.1016882087641228,0.533436415393646,-0.28223753508377536,0.03262323359459829,
LS8-20180802-20180818,64,1,NAOF,16-node oversampling,CARST,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_NAOF/20180802-20180818_velo-raw_vx.tif,/home/jovyan/Projects/PX_comparison/PX/CARST/20180802_20180818_LS8-062017_chip64_skip1_NAOF/20180802-20180818_velo-raw_vy.tif,0.0439453125,0.0732421875,0.029296875,0.0,0.03774534448971477,0.07799637341865022,0.48393717342618436,0.1954741702657894,-0.09896475600271232,
